STATE_ID,STATE_NAME,STATE_INFO,STATE_CAPITAL,STATE_IMAGE
297585,Andhra Pradesh,"Andhra Pradesh offers a diverse range of attractions for tourists. The state is known for its beautiful beaches along the Bay of Bengal, including the popular Ramakrishna Beach in Visakhapatnam. History enthusiasts can explore ancient Buddhist sites like Amaravati and Nagarjunakonda. The Tirupati Balaji Temple, one of the world's most visited religious sites, attracts millions of pilgrims annually. Nature lovers can enjoy the scenic beauty of Araku Valley, known for its coffee plantations and tribal culture. The state's cuisine, famous for its spicy flavors, adds to the cultural experience. Andhra Pradesh also boasts modern attractions like the planned city of Amaravati and the tech hub of Visakhapatnam.",Amaravati,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Tirumala_Venkateswara_temple_entrance_09062015.JPG/1920px-Tirumala_Venkateswara_temple_entrance_09062015.JPG
297589,Arunachal Pradesh,"Arunachal Pradesh, known as the 'Land of the Dawn-Lit Mountains,' offers breathtaking Himalayan landscapes, pristine forests, and rich biodiversity. The Tawang Monastery, one of the largest in India, provides spiritual and cultural insights. Namdapha National Park, a biodiversity hotspot, offers opportunities for wildlife spotting and trekking. The state is home to numerous indigenous tribes, each with unique customs and festivals. Adventure enthusiasts can enjoy river rafting in the Subansiri and Siang rivers. The Ziro Valley, known for its unique paddy-cum-fish culture, is a UNESCO World Heritage site. The annual Ziro Music Festival attracts music lovers from around the world.",Itanagar,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Tawang_Monastery_%28Tibetan_Buddhist%29.jpg/1920px-Tawang_Monastery_%28Tibetan_Buddhist%29.jpg
297590,Assam,"Assam, the gateway to Northeast India, is renowned for its lush tea gardens producing some of the finest teas globally. Kaziranga National Park, a UNESCO World Heritage site, is home to two-thirds of the world's one-horned rhinoceros population and offers exciting wildlife safaris. The mighty Brahmaputra River provides opportunities for river cruises and water sports. Assam's vibrant culture is showcased in its colorful festivals like Bihu and its exquisite silk and handloom products. The ancient Kamakhya Temple in Guwahati is an important pilgrimage site. Nature enthusiasts can explore Manas National Park and Dibru-Saikhowa National Park for diverse flora and fauna. The state's unique cuisine, including dishes like masor tenga (sour fish curry), offers a delightful culinary experience.",Dispur,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Assam_rhinos.jpg/1920px-Assam_rhinos.jpg
297591,Bihar,"Bihar is a treasure trove for those interested in India's cultural and spiritual heritage. The state is the birthplace of Buddhism, with Bodh Gaya, where Buddha attained enlightenment, being a major pilgrimage site. The ancient Nalanda University ruins, a UNESCO World Heritage site, offer a glimpse into India's rich educational past. Patna, the state capital, houses several historical sites and museums. The Chhath festival, celebrated on the banks of rivers, provides a unique cultural experience. Nature lovers can explore Valmiki National Park, home to diverse wildlife including tigers. The Sonepur Cattle Fair, one of Asia's largest animal fairs, is a colorful spectacle. Bihar's rural landscape, dotted with mango orchards and litchi gardens, offers a serene escape from urban life.",Patna,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Nalanda_University_ruins.JPG/330px-Nalanda_University_ruins.JPG
297594,Chhattisgarh,"Chhattisgarh is a hidden gem for tourists seeking off-the-beaten-path experiences. The state is known for its waterfalls, dense forests, and vibrant tribal culture. Chitrakote Falls, often called the 'Niagara of India,' is a spectacular sight. The Kanger Valley National Park offers cave explorations and chances to spot rare wildlife. The ancient temples of Sirpur provide insights into the state's rich architectural heritage. Tribal areas like Bastar showcase unique art forms, including bell metal craft and Dhokra art. The Barnawapara Wildlife Sanctuary is ideal for nature lovers and bird watchers. The state's numerous dams and reservoirs, like the Hasdev Bango Dam, offer picturesque picnic spots. Chhattisgarh's traditional tribal markets and festivals provide authentic cultural experiences for visitors.",Raipur,https://upload.wikimedia.org/wikipedia/commons/3/38/Baloda-bazar.jpg
297604,Goa,"Goa, India's smallest state, is renowned for its tropical beaches, vibrant nightlife, and Portuguese-influenced architecture. The coastline is dotted with popular beaches like Baga, Calangute, and Palolem, offering water sports and beachside relaxation. Old Goa, with its historic churches like the Basilica of Bom Jesus, is a UNESCO World Heritage site. The Latin Quarter of Fontainhas in Panaji showcases colorful Portuguese-style houses. Goa's cuisine, a unique blend of Indian and Portuguese flavors, is famous for its seafood dishes and the local cashew feni liquor. The state hosts numerous festivals throughout the year, including the Goa Carnival and Sunburn Music Festival. Inland Goa offers spice plantations, wildlife sanctuaries like Bhagwan Mahavir, and the majestic Dudhsagar Falls, providing a contrast to the beach life.",Panaji,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Vagator_pano_26012016.jpg/750px-Vagator_pano_26012016.jpg
297607,Gujarat,"Gujarat offers a diverse range of attractions for tourists. The state is home to the only habitat of Asiatic Lions in the world at Gir Forest National Park. The White Desert of Kutch, especially during the Rann Utsav, presents a surreal landscape and vibrant cultural experiences. The Statue of Unity, the world's tallest statue, is a major attraction. Gujarat's rich history is evident in sites like the step wells of Patan, the Sun Temple of Modhera, and the ancient city of Lothal. The state is known for its vibrant textiles, particularly bandhani and patola. Ahmedabad, India's first UNESCO World Heritage City, showcases a blend of medieval and modern architecture. Gujarat's cuisine, predominantly vegetarian, offers unique flavors. The colorful Navratri festival and the International Kite Festival are major cultural events attracting tourists from around the world.",Gandhinagar,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Statue_of_Unity_-_View_from_the_other_bank_of_Narmada.jpg/1920px-Statue_of_Unity_-_View_from_the_other_bank_of_Narmada.jpg
297614,Haryana,"Haryana offers unique experiences for tourists with its rich history and modern developments. Kurukshetra, the legendary battlefield of the Mahabharata, is an important pilgrimage site where the Bhagavad Gita was first spoken. The modern planned city of Gurugram showcases India's rapid urban development. Sultanpur National Park, near Gurugram, is a haven for bird watchers. The state is known for its rural tourism, offering farm stays where visitors can experience traditional Haryanvi culture and cuisine. The Surajkund Crafts Mela, held annually, is one of the largest handicrafts fairs in the world. Adventure enthusiasts can enjoy activities at the Tikkar Taal lake complex. Haryana's rich agricultural heritage and the famous 'Murrah' buffalo breed add to its rural charm.",Chandigarh,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Ancient_Shiva_Temple_at_Dhosi_Hill%2C_Chyvan_Rishi_Ashram.JPG/900px-Ancient_Shiva_Temple_at_Dhosi_Hill%2C_Chyvan_Rishi_Ashram.JPG
297617,Himachal Pradesh,"Himachal Pradesh, nestled in the western Himalayas, is a mountain paradise offering diverse experiences. Popular hill stations like Shimla and Manali attract visitors with their colonial architecture and adventure sports opportunities. The Kullu Valley, known as the 'Valley of Gods,' is famous for its temples and the colorful Dussehra festival. Dharamshala, home to the Dalai Lama, offers insights into Tibetan culture. The state is a haven for trekkers, with numerous trails ranging from easy walks to challenging Himalayan expeditions. In winter, Solang and Rohtang Pass become hubs for skiing and snow sports. The Great Himalayan National Park, a UNESCO World Heritage site, showcases the region's rich biodiversity. Himachal's apple orchards, especially in Kinnaur, offer agro-tourism experiences. The state's handicrafts, including Kullu shawls and Chamba rumals, are famous souvenirs.",Shimla,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Cloud_Volcano.jpg/1920px-Cloud_Volcano.jpg
297626,Jharkhand,"Jharkhand offers a unique blend of nature and heritage tourism. The state is famous for its waterfalls, with Hundru Falls, Dassam Falls, and Jonha Falls being major attractions. Betla National Park provides opportunities for wildlife spotting, including tigers and elephants. The Netarhat hill station, known as the 'Queen of Chotanagpur,' offers breathtaking views and a serene environment. Jharkhand's rich tribal heritage is showcased in various tribal villages and the Tribal Research Institute in Ranchi. The ancient Jain pilgrimage site of Parasnath Hill attracts spiritual seekers. The state's industrial heritage can be explored in cities like Jamshedpur, India's first planned industrial city. Adventure enthusiasts can enjoy rock climbing at Usri Falls and trekking in the Dalma Wildlife Sanctuary. The Sarhul and Karam festivals provide insights into the vibrant tribal culture of the region.",Ranchi,https://upload.wikimedia.org/wikipedia/commons/d/db/Jonha_Waterfalls%2C_Ranchi%2C_Jharkhand.jpg
